country_code,country,year,visitor_count,total_pop,gdp_per_capita,comm_lang,distw_km,log_visitor_count,log_total_pop,log_gdp_per_capita
AUS,Australia,2018,1107215.0,24992369.0,56919.37428,1,5893.496999999999,13.917358411441635,17.034081096237266,10.949391059170772
BGD,Bangladesh,2018,126301.0,161356039.0,1203.216265,0,2874.2790000000005,11.746423225963612,18.899123903713495,7.092753471222558
BRN,Brunei Darussalam,2018,74960.0,428962.0,31436.94859,1,1264.269,11.224709916912303,12.969123615898305,10.355739186807554
CAN,Canada,2018,129512.0,37058856.0,51357.75398,1,14394.1,11.771528819921341,17.428017909483728,10.846571206488616
CHN,China,2018,3416475.0,1392730000.0,7754.962119,1,4097.429,15.044119875746079,21.054531686683113,8.956088190879173
DNK,Denmark,2018,37417.0,5797446.0,62888.72719,0,10051.39,10.529880425582677,15.572928033708807,11.04912220866205
EGY,Egypt,2018,4367.0,98423595.0,2907.317585,1,8286.962,8.381831553485561,18.40479111986364,7.974986142957721
FIN,Finland,2018,32580.0,5518050.0,48579.87129,0,9304.872,10.391453882156036,15.523535094972393,10.790964553108438
FRA,France,2018,204766.0,66987244.0,43663.58492,0,10734.97,12.22962314274037,18.02001277116943,10.684269736673548
DEU,Germany,2018,356797.0,82927922.0,47501.81265,0,10180.76,12.784922271580895,18.233482378836225,10.76852315034725
HKG,Hong Kong SAR,2018,473113.0,7451000.0,38784.75557,1,2593.055,13.067089539576108,15.823858809535865,10.565782550726436
IND,India,2018,1442242.0,1352617328.0,2104.163292,1,3742.252,14.18170940521521,21.0253073139058,7.65167318111224
IDN,Indonesia,2018,3021429.0,267663435.0,4284.652535,1,1012.916,14.92124045624521,19.40524090969557,8.362794739062569
ISR,Israel,2018,22385.0,8883800.0,34788.65793,1,7963.227,10.016146370675067,15.999739951361237,10.45704669108687
ITA,Italy,2018,102005.0,60431283.0,35391.705480000004,0,10070.96,11.53277711067283,17.91701745928893,10.47423276319277
JPN,Japan,2018,829664.0,126529100.0,48919.56089,0,5167.93,13.628776078534228,18.655982879202504,10.797932613677421
KWT,Kuwait,2018,9794.0,4137309.0,33537.85153,1,6672.034000000001,9.189525232262262,15.23555613445991,10.420429976378538
MYS,Malaysia,2018,1253992.0,31528585.0,12109.48855,1,505.5376,14.041842620569327,17.26640515262013,9.401744601964106
MUS,Mauritius,2018,14098.0,1265303.0,10578.61732,1,5589.156,9.553788222333822,14.050822177153758,9.26659000878112
MMR,Myanmar,2018,145603.0,53708395.0,1571.907217,0,2053.155,11.888639018928059,17.79907987873174,7.3600449489826385
NLD,Netherlands,2018,98328.0,17231017.0,55041.12039,0,10496.78,11.496064107894817,16.66222163171868,10.915835828323011
NZL,New Zealand,2018,137676.0,4885500.0,38000.7196,1,8461.287,11.832658377587144,15.401782192366534,10.545360375371327
NOR,Norway,2018,33961.0,5314336.0,92121.42113,0,10124.02,10.432968086399285,15.485918632508886,11.430862780758746
PAK,Pakistan,2018,25326.0,212215030.0,1196.594136,1,4708.465,10.139586815010555,19.173110611042095,7.08723458039236
PHL,Philippines,2018,778135.0,106651922.0,3021.986863,1,2406.19,13.564655309958253,18.485081024285115,8.013669795702125
IRL,Rep Of Ireland,2018,22677.0,4853506.0,78764.62727000001,1,11265.83,10.029106473960287,15.395211888354938,11.274219282550876
RUS,Russian Federation,2018,84525.0,144478050.0,11729.09437,0,7858.916,11.344802627576087,18.788638150864127,9.36982773235835
SAU,Saudi Arabia,2018,11929.0,33699947.0,20775.20181,0,6978.26,9.386727689281946,17.333006822621055,9.94151533375589
ZAF,South Africa (Rep Of),2018,38408.0,57779622.0,7432.868382,1,8844.282,10.556021050210775,17.872146710924888,8.913667117317072
KOR,South Korea,2018,629451.0,51635256.0,26761.94138,1,4632.103,13.352603289881682,17.75971525295276,10.194736059443285
ESP,Spain,2018,66883.0,46723749.0,33146.39167,0,11336.64,11.110700103211892,17.659763137271717,10.408689141122455
LKA,Sri Lanka,2018,113800.0,21670000.0,3936.450246,0,2719.677,11.642197800674367,16.89143937351254,8.278034643398197
SWE,Sweden,2018,53421.0,10183175.0,57232.08549,0,9782.643,10.885959206069424,16.136247406511387,10.954869955242442
CHE,Switzerland,2018,102376.0,8516543.0,78816.21505,0,10375.44,11.536407589117433,15.957521065292509,11.274874029423444
THA,Thailand,2018,545601.0,69428524.0,6361.62499,0,1435.705,13.209643218354284,18.055808349681648,8.758039125271527
USA,USA,2018,643162.0,327167434.0,54541.72316,1,15122.62,13.374151915499635,19.60598262839964,10.906721250326596
ARE,United Arab Emirates,2018,76263.0,9630959.0,40782.36811,0,5843.977,11.24194317174086,16.08049336344745,10.616005112820064
GBR,United Kingdom,2018,588863.0,66488991.0,42986.03288,1,10917.7,13.285948837955612,18.012546943049173,10.668630525167128
VNM,Vietnam,2018,591600.0,95540395.0,1964.475991,0,1480.8310000000001,13.290586009818782,18.375059700311514,7.582980817493443
